,prime_award_unique_key,prime_award_piid,prime_award_amount,prime_award_base_action_date,prime_award_awarding_agency_code,prime_award_awarding_agency_name,prime_awardee_uei,prime_awardee_name,prime_awardee_zip_code
4000,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4001,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4002,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4003,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4004,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4005,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4006,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4007,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4008,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4009,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4010,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4011,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4012,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4013,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4014,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4015,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4016,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4017,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4018,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4019,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4020,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4021,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
4022,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4023,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4024,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4025,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4026,CONT_AWD_89243318CFE000003_8900_-NONE-_-NONE-,89243318CFE000003,364720922.0,2018-06-25,89,Department of Energy (DOE),MYKLJHTX3MM7,LEIDOS INNOVATIONS CORPORATION,208793328
4027,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4028,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4029,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4030,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4031,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4032,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4033,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4034,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4035,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4036,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4037,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4038,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4039,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4040,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4041,CONT_AWD_69056722C000020_6925_-NONE-_-NONE-,69056722C000020,6775844.0,2022-07-11,69,Department of Transportation (DOT),CMREM8DLBMC7,KRCI LLC,988025362
4042,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4043,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4044,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4045,CONT_AWD_89233218CNA000001_8900_-NONE-_-NONE-,89233218CNA000001,23999880167.0,2018-06-08,89,Department of Energy (DOE),X7WUS5LRBQU3,"TRIAD NATIONAL SECURITY, LLC",432012696
4046,CONT_AWD_69056722C000003_6925_-NONE-_-NONE-,69056722C000003,13148313.0,2021-11-18,69,Department of Transportation (DOT),CB5UWYL7QX85,CONWAY CONSTRUCTION COMPANY,986657048
